customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_contract,account_paperlessbilling,account_paymentmethod,account_charges_monthly,account_charges_total,cuentas_diarias,account_charges_monthly_normalized,cuentas_diarias_normalized
6345-FZOQH,0.0,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,1363.45,0.66,0.01641791044776118,0.014925373134328372
6345-HOVES,0.0,Male,0,No,No,34,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.05,852.7,0.84,0.06766169154228857,0.06865671641791044
6345-ULYRW,1.0,Male,1,Yes,No,44,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,88.4,3912.9,2.95,0.6980099502487562,0.6985074626865673
6347-DCUIK,1.0,Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.15,811.8,2.47,0.5562189054726369,0.555223880597015
6348-SNFUS,0.0,Male,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),55.45,4179.2,1.85,0.37014925373134333,0.37014925373134333
6349-JDHQP,0.0,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.85,1049.6,0.66,0.01592039800995026,0.014925373134328372
6350-XFYGW,0.0,Male,1,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,422.4,3.16,0.7611940298507462,0.7611940298507464
6351-SCJKT,0.0,Male,0,No,No,3,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,41.35,107.25,1.38,0.22985074626865673,0.22985074626865667
6352-GIGGQ,0.0,Male,0,No,No,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),88.8,5903.15,2.96,0.7019900497512438,0.7014925373134329
6352-TWCAU,1.0,Female,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.45,3029.1,2.88,0.6786069651741293,0.6776119402985075
6353-BRMMA,0.0,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.1,5645.8,3.47,0.854228855721393,0.8537313432835821
6356-ELRKD,1.0,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,95.6,3.19,0.7696517412935323,0.7701492537313432
6357-JJPQT,0.0,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.5,232.35,2.68,0.6194029850746269,0.6179104477611941
6358-LYNGM,1.0,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,74.9,2.5,0.5636815920398011,0.564179104477612
6360-SVNWV,0.0,Female,1,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.55,2094.65,2.45,0.5502487562189055,0.5492537313432837
6362-QHAFM,0.0,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.3,4586.15,3.61,0.8960199004975125,0.8955223880597015
6365-HITVU,0.0,Female,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),87.25,6328.7,2.91,0.6865671641791045,0.6865671641791046
6365-MTGZX,1.0,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,2122.45,3.2,0.7736318407960199,0.773134328358209
6366-XIVKZ,0.0,Female,0,Yes,Yes,13,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,63.15,816.8,2.1,0.44676616915422884,0.4447761194029851
6366-ZGQGL,1.0,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,0.83,0.06517412935323384,0.06567164179104476
6368-NWMCE,0.0,Female,0,No,No,38,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),68.15,2656.3,2.27,0.4965174129353234,0.4955223880597015
6368-TZZDT,0.0,Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.5,96.85,0.65,0.012437810945273632,0.011940298507462697
6369-MCAKO,0.0,Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05,6185.8,2.97,0.7044776119402985,0.7044776119402986
6370-ZVHDV,0.0,Female,0,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.3,1554.9,0.84,0.07014925373134329,0.06865671641791044
6371-NZYEG,0.0,Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,64.25,1024,2.14,0.4577114427860697,0.4567164179104478
6372-RFVNS,1.0,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,78.8,2.63,0.6024875621890547,0.6029850746268657
6374-AFWOX,0.0,Male,0,Yes,No,46,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,65.65,3047.15,2.19,0.47164179104477616,0.4716417910447761
6374-NTQLP,0.0,Male,1,Yes,Yes,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.1,7447.7,3.47,0.854228855721393,0.8537313432835821
6376-GAHQE,1.0,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,77.85,299.2,2.6,0.5930348258706467,0.5940298507462687
6377-KSLXC,0.0,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,107.05,0.66,0.016915422885572132,0.014925373134328372
6377-WHAOX,0.0,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.15,6411.25,3.54,0.8746268656716418,0.8746268656716418
6379-RXJRQ,1.0,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.1,659.65,2.34,0.5159203980099502,0.5164179104477612
6380-ARCEH,0.0,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0.67,0.019402985074626858,0.017910447761194045
6381-LOPCO,,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,69.8,2.33,0.5129353233830846,0.5134328358208956
6383-ZTSIW,0.0,Female,1,Yes,No,39,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,99.1,3877.95,3.3,0.8044776119402984,0.8029850746268656
6384-VMJHP,0.0,Female,0,No,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),73.0,5265.2,2.43,0.5447761194029851,0.5432835820895523
6385-MVEPL,,Male,0,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,69.25,4447.75,2.31,0.5074626865671642,0.5074626865671642
6386-SZZKH,1.0,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.95,5293.2,3.6,0.8925373134328358,0.8925373134328358
6388-TABGU,0.0,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,1.87,0.3771144278606965,0.3761194029850747
6390-DSAZX,1.0,Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,2.45,0.5507462686567164,0.5492537313432837
6393-WRYZE,1.0,Female,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.65,3207.55,3.26,0.7900497512437812,0.7910447761194029
6394-HHHZM,0.0,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,57.5,0.69,0.024378109452736312,0.02388059701492536
6394-MFYNG,1.0,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.4,5121.3,3.58,0.8870646766169155,0.8865671641791045
6397-JNZZG,1.0,Female,1,Yes,No,43,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),55.55,2342.2,1.85,0.37114427860696514,0.37014925373134333
6400-BWQKW,1.0,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.05,434.5,2.64,0.6049751243781094,0.6059701492537314
6402-EJMWF,0.0,Male,0,No,No,4,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,55.3,238.5,1.84,0.3686567164179104,0.3671641791044776
6402-SSEJG,0.0,Female,0,No,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,61.05,1540.2,2.03,0.42587064676616915,0.42388059701492536
6402-ZFPPI,1.0,Female,1,No,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,102.8,2660.2,3.43,0.8412935323383084,0.8417910447761194
6407-GSJNL,0.0,Female,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.95,1288,0.83,0.06666666666666667,0.06567164179104476
6407-UTSLV,0.0,Female,1,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.8,163.7,2.79,0.6522388059701493,0.6507462686567165
6408-OTUBZ,0.0,Female,0,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),104.55,6779.05,3.48,0.8587064676616916,0.8567164179104477
6408-WHTEF,0.0,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,89.4,6376.55,2.98,0.7079601990049752,0.7074626865671642
6410-LEFEN,1.0,Female,0,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.15,416.45,1.5,0.2676616915422885,0.2656716417910448
6413-XKKPU,1.0,Male,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.4,1539.45,2.98,0.7079601990049752,0.7074626865671642
6416-JNVRK,0.0,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,1.86,0.37213930348258706,0.3731343283582089
6416-TVAIH,1.0,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.5,68.5,2.28,0.5,0.49850746268656715
6416-YJTTB,0.0,Male,0,No,No,11,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.5,795.65,2.65,0.6094527363184079,0.608955223880597
6418-HNFED,0.0,Male,0,Yes,No,51,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),83.25,4089.45,2.78,0.6467661691542289,0.6477611940298507
6418-PIQSP,0.0,Female,0,Yes,No,62,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,81.0,4985.9,2.7,0.6243781094527363,0.6238805970149255
6419-ZTTLE,0.0,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.75,485.2,0.69,0.024875621890547265,0.02388059701492536
6421-SZVEM,0.0,Female,0,Yes,Yes,28,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),82.85,2320.8,2.76,0.6427860696517412,0.6417910447761194
6424-ELEYH,1.0,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.75,229.5,2.49,0.5621890547263682,0.5611940298507464
6425-JWTDV,0.0,Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.25,855.1,0.64,0.009950248756218905,0.008955223880597022
6425-YQLLO,1.0,Female,1,Yes,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.95,6975.25,3.53,0.872636815920398,0.8716417910447761
6427-FEFIG,0.0,Female,0,Yes,Yes,24,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),78.6,1846.65,2.62,0.6004975124378109,0.6000000000000001
6429-SHBCB,0.0,Male,0,No,No,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,69.6,1394.55,2.32,0.5109452736318407,0.5104477611940298
6432-TWQLB,1.0,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,2.85,0.6681592039800995,0.6686567164179105
6434-TTGJP,0.0,Male,0,Yes,Yes,10,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),53.7,521,1.79,0.3527363184079602,0.3522388059701493
6435-SRWBJ,0.0,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,82.75,417.75,2.76,0.6417910447761194,0.6417910447761194
6435-VWCCY,0.0,Male,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),92.7,5968.4,3.09,0.7407960199004976,0.7402985074626866
6437-UDQJM,0.0,Female,1,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,6129.65,2.8,0.6552238805970149,0.6537313432835821
6437-UKHMV,1.0,Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.7,586.05,2.66,0.6114427860696517,0.6119402985074628
6439-GTPCA,1.0,Female,0,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.25,3941.7,2.91,0.6865671641791045,0.6865671641791046
6439-LAJXL,0.0,Male,0,Yes,No,9,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,68.95,593.85,2.3,0.5044776119402985,0.5044776119402985
6439-PKTRR,0.0,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,80.7,5617.95,2.69,0.6213930348258707,0.6208955223880597
6440-DKQGE,0.0,Male,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,1929.95,2.15,0.4601990049751244,0.4597014925373134
6445-TNRXS,0.0,Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.7,7849.85,3.82,0.9597014925373135,0.9582089552238806
6447-EGDIV,0.0,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.95,683.25,0.7,0.026865671641791038,0.026865671641791034
6447-GORXK,0.0,Male,0,No,Yes,31,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.0,789.2,0.83,0.06716417910447761,0.06567164179104476
6457-GIRWB,1.0,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,69.35,2.31,0.5084577114427861,0.5074626865671642
6457-USBER,1.0,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.8,80.8,2.69,0.6223880597014925,0.6208955223880597
6458-CYIDZ,0.0,Female,1,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,80.7,374.8,2.69,0.6213930348258707,0.6208955223880597
6461-PPAXN,0.0,Female,0,Yes,Yes,35,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),54.95,1916,1.83,0.36517412935323385,0.364179104477612
6461-SZMCV,0.0,Female,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),87.95,6365.35,2.93,0.6935323383084577,0.6925373134328359
6463-CCMII,,Male,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,675.6,0.66,0.014427860696517405,0.014925373134328372
6463-HHXJR,0.0,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),100.5,7030.65,3.35,0.818407960199005,0.817910447761194
6463-MVYRY,0.0,Female,1,No,No,57,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),69.85,4003,2.33,0.5134328358208955,0.5134328358208956
6464-KEXXH,0.0,Male,0,No,No,8,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.25,186.3,0.84,0.06965174129353234,0.06865671641791044
6465-GSRCL,0.0,Female,0,No,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),106.6,7244.7,3.55,0.8791044776119402,0.8776119402985074
6467-CHFZW,1.0,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,3.31,0.8069651741293532,0.8059701492537313
6469-MRVET,0.0,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.2,20.2,0.67,0.019402985074626858,0.017910447761194045
6469-QJKZW,0.0,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.15,91.4,0.67,0.018905472636815905,0.017910447761194045
6473-ULUHT,0.0,Male,0,Yes,Yes,16,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,84.9,1398.25,2.83,0.6631840796019901,0.6626865671641792
6474-FVJLC,1.0,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.0,165.45,2.87,0.6741293532338308,0.6746268656716419
6475-VHUIZ,0.0,Female,0,Yes,No,23,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,54.25,1221.55,1.81,0.3582089552238806,0.35820895522388063
6476-EPYZR,0.0,Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.5,255.5,0.68,0.022388059701492536,0.02089552238805972
6476-YHMGA,0.0,Female,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),76.5,1155.6,2.55,0.5796019900497512,0.5791044776119403
6478-HRRCZ,0.0,Male,0,Yes,No,32,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,70.5,2201.75,2.35,0.5199004975124378,0.5194029850746269
6479-OAUSD,0.0,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.9,510.8,0.66,0.01641791044776118,0.014925373134328372
6479-SZPLM,0.0,Male,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.45,754.5,0.65,0.01194029850746268,0.011940298507462697
6479-VDGRK,0.0,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),85.3,6129.2,2.84,0.6671641791044776,0.6656716417910448
6480-YAGIY,0.0,Male,0,No,No,45,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),112.2,5031.85,3.74,0.9348258706467661,0.9343283582089553
6481-ESCNL,0.0,Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.55,2878.75,3.35,0.8189054726368159,0.817910447761194
6481-LXPWL,0.0,Male,0,Yes,Yes,56,No,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),36.1,1971.5,1.2,0.17761194029850746,0.1761194029850746
6481-OGDOO,1.0,Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),90.6,6056.15,3.02,0.7199004975124378,0.7194029850746269
6483-OATDN,0.0,Male,0,Yes,Yes,8,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.3,411.6,1.71,0.3288557213930348,0.3283582089552239
6484-LATFU,0.0,Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.55,1657.4,0.82,0.06268656716417911,0.06268656716417909
6485-QXWWE,0.0,Female,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.0,1638.7,0.87,0.07711442786069651,0.07761194029850746
6486-LHTMA,0.0,Female,1,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,90.7,2835.5,3.02,0.7208955223880598,0.7194029850746269
6490-FGZAT,0.0,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,109.3,0.69,0.02388059701492536,0.02388059701492536
6496-JDSSB,0.0,Female,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.0,624.6,2.67,0.6144278606965174,0.6149253731343284
6496-SLWHQ,1.0,Male,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.0,294.45,3.5,0.8631840796019901,0.8626865671641791
6497-TILVL,0.0,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,1.69,0.3228855721393035,0.32238805970149254
6500-JVEGC,0.0,Male,0,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),101.35,7110.75,3.38,0.826865671641791,0.826865671641791
6502-HCJTI,1.0,Male,1,Yes,No,7,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.7,673.1,3.16,0.7606965174129353,0.7611940298507464
6502-KUGLL,0.0,Female,0,Yes,Yes,14,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),59.45,780.85,1.98,0.40995024875621894,0.408955223880597
6502-MJQAE,1.0,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,2.32,0.5109452736318407,0.5104477611940298
6504-VBLFL,0.0,Male,0,Yes,No,55,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,58.6,3068.6,1.95,0.4014925373134329,0.39999999999999997
6505-OZNPG,0.0,Female,0,No,No,6,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,63.4,348.8,2.11,0.44925373134328356,0.44776119402985076
6506-EYCNH,0.0,Female,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.55,543.8,0.65,0.012935323383084583,0.011940298507462697
6507-DTJZV,0.0,Male,0,No,Yes,13,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),66.4,831.75,2.21,0.47910447761194036,0.47761194029850745
6507-MIKMI,,Female,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.3,4443.45,3.54,0.8761194029850746,0.8746268656716418
6507-ZJSUR,0.0,Male,1,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.45,2117.25,3.02,0.718407960199005,0.7194029850746269
6508-NJYRO,0.0,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.8,294.95,0.63,0.005472636815920405,0.0059701492537313485
6508-TFQQW,,Male,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,70.3,2.34,0.517910447761194,0.5164179104477612
6509-TSGWN,0.0,Female,0,Yes,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.45,911.6,0.88,0.08159203980099501,0.08059701492537313
6510-UPNKS,0.0,Female,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.8,615.35,0.83,0.06517412935323384,0.06567164179104476
6513-EECDB,1.0,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,73.55,2.45,0.5502487562189055,0.5492537313432837
6516-NKQBO,0.0,Male,0,Yes,Yes,38,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),81.0,3084.9,2.7,0.6243781094527363,0.6238805970149255
6518-KZXCB,0.0,Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.25,566.5,0.84,0.06965174129353234,0.06865671641791044
6518-LGAOV,1.0,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.0,4026.4,3.5,0.8631840796019901,0.8626865671641791
6518-PPLMZ,0.0,Male,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.4,1110.35,0.65,0.011442786069651727,0.011940298507462697
